material_id,ionic_conductivity
mp-4558,1.300000e-12
uox_generated,5.650000e-12
mp-1020022,9.600000e-12
mp-758770,1.530000e-11
mp-1222635,7.800000e-11
mp-1198788,1.000000e-10
mp-8926,1.600000e-10
mp-1222635,1.600000e-10
mp-1223420,1.700000e-10
mp-1238771,1.800000e-10
mp-28510,2.400000e-10
mp-758334,3.570000e-10
mp-557738,4.100000e-10
mp-1235020,4.320000e-10
mp-15960,5.000000e-10
mp-5418,5.200000e-10
mp-1222986,5.890000e-10
mp-4156,6.100000e-10
mp-753769,6.290000e-10
mp-758770,6.560000e-10
mp-1035532,7.270000e-10
mp-29009,7.800000e-10
mp-1194339,1.000000e-09
mp-1222777,1.000000e-09
mp-541661,1.000000e-09
mp-1104386,1.000000e-09
mp-776356,1.050000e-09
mp-1106183,1.400000e-09
mp-758770,1.510000e-09
mp-19373,2.050000e-09
mp-1191696,3.190000e-09
mp-1194523,3.530000e-09
mp-29365,3.900000e-09
mp-758770,4.240000e-09
mp-756316,4.800000e-09
mp-541272,4.830000e-09
mp-4657,5.000000e-09
mp-27653,8.700000e-09
mp-677490,8.700000e-09
mp-3635,1.000000e-08
mp-27508,1.000000e-08
mp-1222481,1.300000e-08
mp-1106183,1.310000e-08
il5_generated,1.310000e-08
mp-767424,1.360000e-08
xxq_generated,1.460000e-08
mp-1210789,1.590000e-08
mp-758770,1.730000e-08
mp-7020,1.800000e-08
mp-1196415,2.020000e-08
gl0_generated,2.400000e-08
a3e_generated,2.740000e-08
wmr_generated,3.050000e-08
smk_generated,3.170000e-08
xkh_generated,3.200000e-08
mp-554782,3.800000e-08
mp-28253,3.800000e-08
hpu_generated,4.200000e-08
mp-1194700,4.500000e-08
mp-1210789,4.930000e-08
mp-13944,5.000000e-08
mp-11175,5.400000e-08
ci1_generated,5.600000e-08
mp-772260,6.030000e-08
mp-5853,6.170000e-08
mp-37436,6.700000e-08
mp-1105323,8.000000e-08
l2w_generated,8.200000e-08
9z8_generated,8.220000e-08
08e_generated,8.500000e-08
mp-5001,8.700000e-08
mp-754075,9.200000e-08
uxi_generated,9.900000e-08
gwu_generated,1.040000e-07
mp-1222859,1.300000e-07
mp-31096,1.400000e-07
mp-706279,1.440000e-07
mp-696125,1.640000e-07
700000_generated,1.800000e-07
mp-771281,1.900000e-07
0vd_generated,2.000000e-07
mp-30249,2.000000e-07
mp-1232994,2.000000e-07
h8o_generated,2.290000e-07
t3k_generated,2.370000e-07
mp-1222635,2.380000e-07
mp-2646995,2.600000e-07
mp-754075,2.830000e-07
mp-754075,3.200000e-07
mp-541272,3.330000e-07
mp-694934,3.340000e-07
na5_generated,3.800000e-07
mp-18640,3.830000e-07
mp-705887,4.410000e-07
mp-1232382,4.490000e-07
mp-15254,5.000000e-07
lh8_generated,5.260000e-07
mp-696125,5.540000e-07
mp-38008,5.800000e-07
g5g_generated,5.910000e-07
mp-3346454,6.240000e-07
lc1_generated,6.500000e-07
sxv_generated,6.500000e-07
mp-754075,6.850000e-07
mp-25423,8.100000e-07
mp-696129,8.110000e-07
aab_generated,8.300000e-07
mp-27968,8.500000e-07
mp-18809,8.890000e-07
mp-1097036,8.930000e-07
cz2_generated,9.500000e-07
mp-1198622,9.850000e-07
mp-22983,1.000000e-06
kxh_generated,1.000000e-06
mp-632815,1.030000e-06
mp-28593,1.100000e-06
mp-632815,1.140000e-06
mp-753690,1.200000e-06
mp-985582,1.260000e-06
mp-985582,1.300000e-06
mp-695291,1.330000e-06
mp-1177409,1.370000e-06
mp-559776,1.540000e-06
mp-38487,1.584890e-06
mp-695291,1.600000e-06
mp-942733,1.630000e-06
mp-696128,1.780000e-06
qer_generated,1.800000e-06
mp-942733,1.970000e-06
mp-1210789,2.000000e-06
mp-18640,2.000000e-06
mp-1222565,2.000000e-06
jej_generated,2.200000e-06
l9r_generated,2.200000e-06
mp-559776,2.650000e-06
mp-18809,2.710000e-06
tlp_generated,2.850000e-06
za6_generated,2.900000e-06
mp-772416,3.150000e-06
mp-696129,3.200000e-06
s3r_generated,3.250000e-06
mp-775628,3.330000e-06
mp-686239,3.690000e-06
mp-1220731,3.990000e-06
ob9_generated,4.000000e-06
wng_generated,4.000000e-06
mp-1235205,4.200000e-06
mp-686239,4.200000e-06
usu_generated,4.300000e-06
mp-632815,4.500000e-06
h82_generated,4.720000e-06
mp-34148,4.790000e-06
mp-721239,5.000000e-06
mp-554747,5.080000e-06
c0g_generated,5.170000e-06
mp-1235205,5.400000e-06
mp-18809,5.660000e-06
8m3_generated,5.710000e-06
mp-1220731,5.910000e-06
lf5_generated,6.000000e-06
o0a_generated,6.000000e-06
bi3_generated,6.300000e-06
mp-559776,6.610000e-06
sib_generated,6.800000e-06
mp-36330,6.950000e-06
mp-28326,7.000000e-06
mp-1235205,7.000000e-06
sqm_generated,7.100000e-06
419_generated,7.110000e-06
aax_generated,7.410000e-06
mp-775628,7.800000e-06
mp-761986,8.000000e-06
mp-683616,8.300000e-06
1ty_generated,8.500000e-06
mp-554395,8.800000e-06
5gj_generated,8.860000e-06
zyx_generated,9.130000e-06
mp-772416,9.420000e-06
qvu_generated,9.680000e-06
mp-861268,9.920000e-06
ppz_generated,1.000000e-05
mp-1223173,1.000000e-05
qtc_generated,1.060000e-05
mp-632815,1.100000e-05
nf0_generated,1.100000e-05
9n0_generated,1.110000e-05
mp-1218768,1.130000e-05
ozo_generated,1.180000e-05
vwn_generated,1.180000e-05
fam_generated,1.180000e-05
r99_generated,1.200000e-05
mp-1220731,1.210000e-05
mp-1220731,1.230000e-05
hud_generated,1.300000e-05
ijh_generated,1.340000e-05
mp-1218768,1.370000e-05
dae_generated,1.400000e-05
o86_generated,1.410000e-05
q46_generated,1.440000e-05
mp-1190364,1.500000e-05
h89_generated,1.500000e-05
i4l_generated,1.500000e-05
mp-559776,1.590000e-05
mp-1147681,1.650000e-05
ner_generated,1.690000e-05
mp-1173014,1.800000e-05
mp-1223017,1.820000e-05
mp-18809,1.900000e-05
3tt_generated,1.900000e-05
mp-686736,1.900000e-05
mp-1218768,1.920000e-05
mp-1194700,2.000000e-05
mp-686736,2.000000e-05
gnq_generated,2.060000e-05
sso_generated,2.090000e-05
kbu_generated,2.150000e-05
mp-686736,2.200000e-05
mp-772416,2.280000e-05
5fj_generated,2.300000e-05
tp2_generated,2.300000e-05
0v9_generated,2.400000e-05
4k1_generated,2.450000e-05
a6v_generated,2.510000e-05
mp-15901,2.610000e-05
ymc_generated,2.620000e-05
zv5_generated,2.800000e-05
7o7_generated,2.950000e-05
yq2_generated,3.000000e-05
3vi_generated,3.080000e-05
mp-18809,3.190000e-05
jq7_generated,3.190000e-05
kf7_generated,3.190000e-05
mp-985591,3.200000e-05
mp-985592,3.300000e-05
mp-559776,3.400000e-05
mp-1223017,3.510000e-05
jdk_generated,3.560000e-05
klr_generated,3.600000e-05
kab_generated,3.750000e-05
7ek_generated,3.800000e-05
mp-643259,3.860000e-05
ag1_generated,3.900000e-05
z2s_generated,3.900000e-05
t17_generated,3.930000e-05
544_generated,4.000000e-05
deu_generated,4.300000e-05
mp-685991,4.500000e-05
0fh_generated,4.830000e-05
coi_generated,4.990000e-05
6xc_generated,5.130000e-05
mp-1218768,5.300000e-05
ew5_generated,5.400000e-05
21m_generated,5.880000e-05
whw_generated,5.900000e-05
mp-18640,6.000000e-05
w1l_generated,6.000000e-05
mp-1218768,6.040000e-05
dvb_generated,6.390000e-05
cti_generated,6.740000e-05
mp-1195718,7.000000e-05
lpx_generated,7.100000e-05
mp-696129,7.190000e-05
mp-18640,7.200000e-05
l8t_generated,7.300000e-05
ar1_generated,7.500000e-05
mp-1218768,7.640000e-05
ed4_generated,7.940000e-05
p4l_generated,8.000000e-05
5d6_generated,8.000000e-05
mp-683616,8.220000e-05
3uq_generated,8.240000e-05
h8a_generated,8.320000e-05
mdj_generated,8.600000e-05
mp-1173014,8.600000e-05
2d1_generated,9.180000e-05
gzp_generated,9.790000e-05
7iw_generated,9.980000e-05
mp-695286,9.980000e-05
81x_generated,1.000000e-04
jce_generated,1.000000e-04
v07_generated,1.000000e-04
mp-1223687,1.030000e-04
uwh_generated,1.030000e-04
1pw_generated,1.060000e-04
dx2_generated,1.070000e-04
9ph_generated,1.080000e-04
mp-696128,1.100000e-04
vqj_generated,1.120000e-04
mp-1190364,1.200000e-04
mp-950995,1.200000e-04
f7p_generated,1.200000e-04
mp-942733,1.200000e-04
lz8_generated,1.220000e-04
gjy_generated,1.280000e-04
mp-1147723,1.300000e-04
mp-1222972,1.300000e-04
8fn_generated,1.370000e-04
0y6_generated,1.400000e-04
9l3_generated,1.420000e-04
ylt_generated,1.420000e-04
mp-1223017,1.490000e-04
utv_generated,1.500000e-04
mp-695286,1.580000e-04
goi_generated,1.600000e-04
0ew_generated,1.600000e-04
mp-772524,1.610000e-04
vlm_generated,1.610000e-04
x9a_generated,1.620000e-04
mp-9406,1.650000e-04
mp-695021,1.740000e-04
mp-696128,1.750000e-04
mp-6521,1.760000e-04
mp-1222972,1.800000e-04
mp-1223017,1.800000e-04
gw2_generated,1.880000e-04
j5g_generated,1.880000e-04
vg0_generated,1.900000e-04
mp-683616,2.040000e-04
mp-2341,2.085000e-04
72f_generated,2.100000e-04
mp-985582,2.200000e-04
ff9_generated,2.260000e-04
mp-1223017,2.400000e-04
mp-1198622,2.400000e-04
mp-1222972,2.460000e-04
mp-695286,2.460000e-04
xa0_generated,2.480000e-04
wa3_generated,2.540000e-04
mp-1223017,2.600000e-04
mp-6521,2.600000e-04
dm9_generated,2.600000e-04
3ta_generated,2.610000e-04
tjh_generated,2.640000e-04
0fa_generated,2.690000e-04
3rh_generated,2.700000e-04
u5t_generated,2.800000e-04
g5q_generated,2.800000e-04
o5q_generated,2.800000e-04
vus_generated,2.810000e-04
1dm_generated,2.840000e-04
mp-1223017,2.900000e-04
mp-683616,3.020000e-04
8ee_generated,3.100000e-04
ciq_generated,3.110000e-04
z53_generated,3.130000e-04
f0h_generated,3.160000e-04
8y4_generated,3.170000e-04
t1l_generated,3.200000e-04
gdr_generated,3.200000e-04
r07_generated,3.300000e-04
9o6_generated,3.330000e-04
mp-9406,3.350000e-04
1xf_generated,3.360000e-04
mp-9406,3.400000e-04
d6f_generated,3.400000e-04
1tk_generated,3.400000e-04
3o4_generated,3.500000e-04
6hq_generated,3.500000e-04
suz_generated,3.690000e-04
sdz_generated,3.700000e-04
oi4_generated,3.800000e-04
mp-1223017,3.860000e-04
iqt_generated,3.880000e-04
mp-683616,3.900000e-04
mp-1222972,3.920000e-04
mp-683616,3.930000e-04
zfg_generated,4.000000e-04
mp-695286,4.070000e-04
4uu_generated,4.100000e-04
mp-9406,4.120000e-04
dq4_generated,4.260000e-04
czo_generated,4.290000e-04
mp-1223017,4.300000e-04
ucw_generated,4.360000e-04
09w_generated,4.370000e-04
mp-9406,4.420000e-04
i90_generated,4.500000e-04
mp-695286,4.520000e-04
5xk_generated,4.600000e-04
2wb_generated,4.700000e-04
5z8_generated,4.900000e-04
c71_generated,4.920000e-04
my5_generated,4.940000e-04
e0z_generated,4.980000e-04
mp-9406,5.010000e-04
mp-942733,5.110000e-04
mp-695286,5.150000e-04
mp-1222972,5.220000e-04
qkr_generated,5.230000e-04
fkt_generated,5.280000e-04
ctg_generated,5.280000e-04
mp-1139957,5.390000e-04
mp-696128,5.550000e-04
906_generated,5.610000e-04
lud_generated,5.680000e-04
mp-942733,5.690000e-04
fnu_generated,5.720000e-04
mp-2251,5.767000e-04
my9_generated,5.950000e-04
mp-9406,5.990000e-04
l6h_generated,6.140000e-04
mp-6521,6.220000e-04
mp-1222972,6.300000e-04
4vd_generated,6.300000e-04
7gm_generated,6.310000e-04
bw3_generated,6.450000e-04
9wf_generated,6.500000e-04
q9f_generated,6.500000e-04
mp-9406,6.510000e-04
mp-696128,6.540000e-04
dll_generated,6.600000e-04
mp-696129,6.620000e-04
mp-9406,6.680000e-04
hyj_generated,6.700000e-04
mp-9406,6.880000e-04
mp-695286,6.900000e-04
e6a_generated,6.900000e-04
nng_generated,7.000000e-04
mp-985591,7.010000e-04
mp-695286,7.030000e-04
mp-736,7.030000e-04
pfi_generated,7.070000e-04
9s4_generated,7.220000e-04
v1q_generated,7.300000e-04
zqx_generated,7.300000e-04
duf_generated,7.700000e-04
mp-9406,7.850000e-04
dbs_generated,7.940000e-04
bnh_generated,7.990000e-04
66a_generated,8.000000e-04
dvs_generated,8.100000e-04
mp-9406,8.320000e-04
bt0_generated,8.320000e-04
dti_generated,8.340000e-04
mp-1147681,8.400000e-04
mp-9406,8.530000e-04
7w5_generated,8.700000e-04
x2v_generated,8.730000e-04
mp-985591,8.780000e-04
x9d_generated,9.020000e-04
ueu_generated,9.030000e-04
kh3_generated,9.200000e-04
mp-767402,9.250000e-04
mp-6521,9.280000e-04
ish_generated,9.310000e-04
mtr_generated,9.350000e-04
mp-9406,9.570000e-04
hzf_generated,9.720000e-04
mp-6521,9.800000e-04
mp-9406,1.000000e-03
kji_generated,1.000000e-03
uht_generated,1.020000e-03
mp-6521,1.060000e-03
3zo_generated,1.080000e-03
tzl_generated,1.100000e-03
w3n_generated,1.120000e-03
lap_generated,1.130000e-03
mp-985591,1.150000e-03
mp-1222635,1.200000e-03
ym6_generated,1.210000e-03
7kf_generated,1.220000e-03
x61_generated,1.240000e-03
mp-9406,1.250000e-03
4ie_generated,1.280000e-03
mp-985592,1.300000e-03
mp-9406,1.300000e-03
s2v_generated,1.380000e-03
n7a_generated,1.400000e-03
mp-1222972,1.400000e-03
vj7_generated,1.410000e-03
mp-696138,1.430000e-03
5qw_generated,1.500000e-03
mp-6521,1.510000e-03
mp-696128,1.540000e-03
mp-9406,1.540000e-03
mp-1235123,1.600000e-03
mp-9406,1.600000e-03
wsd_generated,1.650000e-03
iiy_generated,1.690000e-03
mp-696128,1.740000e-03
xnb_generated,1.800000e-03
9yt_generated,1.860000e-03
znj_generated,1.860000e-03
mp-1147619,1.920000e-03
mp-1111288,2.040000e-03
mp-985592,2.050000e-03
fkj_generated,2.190000e-03
mp-696128,2.200000e-03
kgl_generated,2.260000e-03
mp-720509,2.300000e-03
mp-1222972,2.300000e-03
10s_generated,2.340000e-03
1m8_generated,2.580000e-03
d9l_generated,2.680000e-03
mp-985591,2.770000e-03
96f_generated,2.780000e-03
1kq_generated,3.010000e-03
mp-641703,3.200000e-03
z16_generated,3.200000e-03
50s_generated,3.300000e-03
ij5_generated,3.330000e-03
rg6_generated,3.380000e-03
z9y_generated,3.380000e-03
c6e_generated,3.480000e-03
mp-696123,3.600000e-03
dlj_generated,3.610000e-03
uut_generated,3.620000e-03
cju_generated,3.640000e-03
mp-696123,3.650000e-03
mp-696123,3.730000e-03
mp-721236,3.800000e-03
t2c_generated,3.820000e-03
hbz_generated,3.920000e-03
mp-721236,3.980000e-03
mp-696129,4.210000e-03
mp-696123,4.360000e-03
mp-696123,4.530000e-03
rty_generated,4.800000e-03
yqu_generated,4.820000e-03
mp-696123,4.960000e-03
pa1_generated,5.210000e-03
mp-696129,5.270000e-03
mp-696123,5.500000e-03
lxk_generated,5.540000e-03
oxc_generated,5.630000e-03
mp-696129,5.650000e-03
mg4_generated,6.200000e-03
kop_generated,6.400000e-03
mp-696129,6.500000e-03
mp-696129,6.730000e-03
mp-721236,7.000000e-03
mp-696128,7.000000e-03
ik8_generated,7.430000e-03
mp-696138,7.600000e-03
7tu_generated,7.820000e-03
mp-641703,8.600000e-03
mp-696138,8.600000e-03
8ub_generated,8.790000e-03
mp-696128,1.100000e-02
ui6_generated,1.100000e-02
mp-696138,1.200000e-02
mp-696138,1.210000e-02
mp-696128,1.220000e-02
mp-696128,1.320000e-02
9rc_generated,1.410000e-02
mp-696128,1.440000e-02
mp-696138,2.460000e-02
mp-1040451,2.500000e-02
mp-985585,2.500000e-02
